vacancy_name,experience,lvl,views,applications,part_of_url,technologies
developer,3,middle/senior,52,8,https://djinni.co/jobs/435984-python-developer/,"['nosql', 'python', 'rest', 'api', 'git', 'docker', 'flask', 'fastapi']"
developer ml,3,middle/senior,175,59,https://djinni.co/jobs/511555-python-developer-opportunity-to-learn-ml-/,"['docker', 'postgresql', 'python', 'aws']"
backend developer,3,middle/senior,26,1,https://djinni.co/jobs/465086-middle-senior-python-back-end-developer/,"['rest', 'python', 'api']"
developer,3,middle/senior,34,6,https://djinni.co/jobs/363476-senior-python-developer/,"['flask', 'fastapi', 'python', 'sql']"
developer,3,middle/senior,41,11,https://djinni.co/jobs/407778-middle-python-developer/,"['aws', 'python', 'linux', 'fastapi', 'docker', 'flask', 'sql']"
engineer,3,middle/senior,134,62,https://djinni.co/jobs/511268-middle-python-engineer/,"['rest', 'python']"
developer developer,3,middle/senior,89,43,https://djinni.co/jobs/511207-python-developer-for-a-new-york-based-search-/,"['flask', 'postgresql', 'python']"
developer developer,3,middle/senior,60,21,https://djinni.co/jobs/437061-python-developer-for-a-new-york-based-search-/,"['elasticsearch', 'postgresql', 'flask', 'python']"
developer developer,3,middle/senior,5,1,https://djinni.co/jobs/511165-python-developer-for-a-new-york-based-search-/,"['elasticsearch', 'postgresql', 'flask', 'python']"
engineer,3,middle/senior,11,4,https://djinni.co/jobs/511121-python-engineer-to-the-saas-platform/,"['nosql', 'aws', 'python', 'rest', 'api', 'git', 'docker', 'sql']"
developer,3,middle/senior,38,5,https://djinni.co/jobs/408292-middle-senior-python-developer/,"['devops', 'python', 'api', 'ai', 'redis', 'docker']"
backend engineer,3,middle/senior,101,10,https://djinni.co/jobs/459496-back-end-engineer-python-/,"['nosql', 'aws', 'python', 'api', 'asyncio']"
developer,3,middle/senior,36,5,https://djinni.co/jobs/80025-middle-python-developer/,"['devops', 'postgresql', 'python', 'rest', 'api', 'mongodb', 'linux', 'django', 'git', 'redis', 'javascript', 'docker', 'flask', 'fastapi']"
developer lead,3,middle/senior,10,1,https://djinni.co/jobs/510839-senior-python-developer-only-for-candidates-w/,"['devops', 'python', 'linux', 'git', 'docker']"
engineer,3,middle/senior,57,22,https://djinni.co/jobs/510783-senior-python-engineer/,"['aws', 'python', 'api', 'redis', 'orm', 'flask', 'fastapi']"
developer,3,middle/senior,62,6,https://djinni.co/jobs/345281-python-developer-django-/,"['aws', 'python', 'api', 'django', 'react', 'docker']"
engineer,3,middle/senior,39,1,https://djinni.co/jobs/473745-python-django-engineer/,"['aws', 'jira', 'python', 'ux', 'rest', 'linux', 'django', 'docker']"
developer,3,middle/senior,15,3,https://djinni.co/jobs/510674-senior-python-developer/,"['aws', 'python', 'api', 'redis', 'orm', 'flask', 'fastapi']"
developer,3,middle/senior,21,6,https://djinni.co/jobs/501682-middle-python-developer/,"['postgresql', 'python', 'pytest', 'docker', 'fastapi']"
developer,3,middle/senior,3,0,https://djinni.co/jobs/510574-senior-cloud-developer/,"['nosql', 'aws', 'python', 'api', 'javascript']"
developer,3,middle/senior,63,6,https://djinni.co/jobs/477693-middle-senior-python-developer/,"['postgresql', 'python', 'rest', 'api', 'django', 'elasticsearch', 'git', 'algorithms', 'redis', 'drf', 'js']"
